Year,Month,Day,Hour,HOURLYPrecip
2017,3,5,4,0.149606
2017,3,5,5,0.188976
2017,3,5,6,0.141732
2017,3,5,7,0.011811
2017,3,5,8,0.000000
2017,3,5,10,0.000000
2017,3,5,11,0.059055
2017,3,5,12,0.011811
2017,3,5,13,0.000000
2017,3,5,14,0.011811
2017,3,5,15,0.000000
2017,3,5,17,0.019685
2017,3,5,18,0.090551
2017,3,5,19,0.019685
2017,3,5,20,0.031496
2017,3,5,21,0.000000
2017,3,5,22,0.019685
2017,3,5,23,0.000000
2017,3,6,9,0.000000
2017,3,6,10,0.011811
2017,3,6,11,0.000000
2017,3,6,12,0.011811
2017,3,6,13,0.000000
2017,3,6,14,0.000000
2017,3,6,17,0.011811
2017,3,6,23,0.000000
2017,3,7,11,0.011811
2017,3,9,23,0.000000
2017,3,16,11,0.421260
2017,3,18,21,0.000000
2017,3,18,23,0.000000
2017,3,20,19,0.000000
2017,3,20,20,0.019685
2017,3,20,21,0.031496
2017,3,20,22,0.000000
2017,3,20,23,0.011811
2017,3,21,0,0.031496
2017,3,21,1,0.078740
2017,3,21,2,0.011811
2017,3,21,3,0.090551
2017,3,21,4,0.110236
2017,3,21,5,0.169291
2017,3,21,6,0.098425
2017,3,21,7,0.149606
2017,3,21,8,0.059055
2017,3,21,9,0.000000
2017,3,21,10,0.019685
2017,3,21,11,0.011811
2017,3,21,12,0.000000
2017,3,21,14,0.051181
2017,3,21,15,0.051181
2017,3,21,16,0.118110
2017,3,21,17,0.000000
2017,3,21,20,0.011811
2017,3,21,21,0.019685
2017,3,21,23,0.031496
2017,3,22,2,0.000000
2017,3,22,3,0.000000
2017,3,22,5,0.000000
2017,3,22,6,0.011811
2017,3,22,7,0.011811
2017,3,22,8,0.208661
2017,3,22,9,0.110236
2017,3,22,10,0.220472
2017,3,22,11,0.078740
2017,3,22,12,0.078740
2017,3,22,14,0.078740
2017,3,22,17,0.078740
2017,3,22,19,0.011811
2017,3,22,20,0.011811
2017,3,22,23,0.011811
2017,3,23,11,0.090551
2017,3,24,7,0.000000
2017,3,24,8,0.000000
2017,3,24,9,0.000000
2017,3,24,10,0.000000
2017,3,24,11,0.000000
2017,3,24,12,0.000000
2017,3,24,13,0.019685
2017,3,24,14,0.011811
2017,3,24,15,0.019685
2017,3,24,16,0.039370
2017,3,24,17,0.059055
2017,3,24,18,0.098425
2017,3,24,19,0.059055
2017,3,24,20,0.011811
2017,3,24,21,0.039370
2017,3,24,22,0.000000
2017,3,24,23,0.000000
2017,3,25,7,0.000000
2017,3,25,8,0.000000
2017,3,25,11,0.000000
2017,3,25,15,0.011811
2017,3,25,17,0.011811
2017,3,26,11,0.011811
2017,3,26,17,0.000000
2017,3,27,0,0.000000
2017,3,27,1,0.011811
2017,3,27,2,0.000000
2017,3,27,3,0.011811
2017,3,27,4,0.000000
2017,3,27,5,0.019685
2017,3,27,11,0.019685
2017,4,6,15,0.000000
2017,4,6,16,0.000000
2017,4,6,17,0.000000
2017,4,6,18,0.000000
2017,4,6,19,0.000000
2017,4,6,20,0.000000
2017,4,6,23,0.000000
2017,4,7,0,0.019685
2017,4,7,1,0.279528
2017,4,7,2,0.279528
2017,4,7,3,0.358268
2017,4,7,4,0.106299
2017,4,7,5,0.137795
2017,4,7,6,0.188976
2017,4,7,7,0.031496
2017,4,7,8,0.011811
2017,4,7,11,0.228346
2017,4,7,12,0.031496
2017,4,7,13,0.019685
2017,4,7,14,0.051181
2017,4,7,16,0.047244
2017,4,7,17,0.051181
2017,4,7,18,0.090551
2017,4,7,19,0.011811
2017,4,7,20,0.098425
2017,4,7,21,0.031496
2017,4,7,22,0.000000
2017,4,7,23,0.000000
2017,4,8,1,0.000000
2017,4,8,2,0.011811
2017,4,8,3,0.000000
2017,4,8,4,0.011811
2017,4,8,5,0.228346
2017,4,8,6,0.031496
2017,4,8,7,0.000000
2017,4,8,8,0.031496
2017,4,8,11,0.031496
2017,4,8,16,0.011811
2017,4,8,17,0.011811
2017,4,8,18,0.011811
2017,4,8,20,0.011811
2017,4,8,23,0.000000
2017,4,9,11,0.031496
2017,4,11,18,0.000000
2017,4,11,19,0.000000
2017,4,11,20,0.000000
2017,4,11,22,0.000000
2017,4,11,23,0.000000
2017,4,12,14,0.000000
2017,4,12,15,0.011811
2017,4,12,16,0.000000
2017,4,12,17,0.011811
2017,4,12,19,0.011811
2017,4,12,20,0.019685
2017,4,12,21,0.019685
2017,4,12,23,0.051181
2017,4,13,5,0.011811
2017,4,13,7,0.011811
2017,4,13,8,0.059055
2017,4,13,11,0.070866
2017,4,13,13,0.011811
2017,4,13,14,0.011811
2017,4,13,16,0.110236
2017,4,13,17,0.129921
2017,4,13,18,0.011811
2017,4,13,19,0.000000
2017,4,13,20,0.011811
2017,4,13,22,0.011811
2017,4,13,23,0.019685
2017,4,14,0,0.011811
2017,4,14,2,0.011811
2017,4,14,5,0.011811
2017,4,14,11,0.181102
2017,4,16,17,0.000000
2017,4,16,18,0.051181
2017,4,16,19,0.011811
2017,4,16,20,0.098425
2017,4,16,21,0.000000
2017,4,16,22,0.011811
2017,4,16,23,0.059055
2017,4,17,0,0.031496
2017,4,17,1,0.011811
2017,4,17,2,0.011811
2017,4,17,4,0.000000
2017,4,17,5,0.051181
2017,4,17,6,0.011811
2017,4,17,7,0.000000
2017,4,17,8,0.000000
2017,4,17,10,0.011811
2017,4,17,11,0.000000
2017,4,17,21,0.011811
2017,4,17,22,0.000000
2017,4,17,23,0.000000
2017,4,18,0,0.000000
2017,4,18,1,0.011811
2017,4,18,2,0.000000
2017,4,18,5,0.000000
2017,4,18,6,0.011811
2017,4,18,8,0.011811
2017,4,18,11,0.011811
2017,4,20,4,0.000000
2017,4,20,5,0.007874
2017,4,20,6,0.047244
2017,4,20,7,0.007874
2017,4,20,8,0.059055
2017,4,20,11,0.059055
2017,4,20,14,0.011811
2017,4,20,17,0.011811
2017,4,21,11,0.011811
2017,5,8,5,0.000000
2017,5,24,12,0.011811
2017,5,24,14,0.011811
2017,5,24,17,0.019685
2017,5,29,3,0.019685
2017,5,29,5,0.019685
2017,5,29,6,0.011811
2017,5,29,7,0.118110
2017,5,31,8,0.000000
2017,5,31,9,0.019685
2017,5,31,10,0.011811
2017,5,31,11,0.011811
2017,6,8,9,0.000000
2017,6,8,11,0.000000
2017,6,8,12,0.000000
2017,6,8,13,0.000000
2017,6,8,14,0.000000
2017,6,8,15,0.000000
2017,6,8,16,0.000000
2017,6,8,17,0.000000
2017,6,8,18,0.000000
2017,6,8,20,0.000000
2017,6,8,23,0.000000
2017,6,11,22,0.000000
2017,6,11,23,0.000000
2017,6,12,0,0.098425
2017,6,12,1,0.059055
2017,6,12,2,0.161417
2017,6,12,5,0.161417
2017,6,12,11,0.161417
2017,7,8,3,0.000000
2017,7,8,5,0.000000
2017,7,15,21,0.000000
2017,7,15,23,0.000000
2017,7,16,18,0.000000
2017,7,16,19,0.000000
2017,7,16,20,0.000000
2017,7,16,23,0.000000
2017,7,22,18,0.000000
2017,7,22,19,0.000000
2017,7,22,20,0.000000
2017,7,22,21,0.000000
2017,7,22,22,0.000000
2017,7,22,23,0.000000
2017,8,2,23,0.000000
2017,8,4,5,0.000000
2017,8,4,6,0.000000
2017,8,4,8,0.000000
2017,8,4,11,0.000000
2017,8,5,7,0.011811
2017,8,5,8,0.011811
2017,8,5,11,0.011811
2017,8,26,17,0.000000
2017,8,27,1,0.000000
2017,9,12,5,0.011811
2017,9,12,11,0.011811
2017,9,12,19,0.011811
2017,9,12,20,0.011811
2017,9,12,23,0.011811
2017,9,13,11,0.011811
2017,9,14,11,0.011811
2017,10,3,11,0.011811
2017,10,6,23,0.000000
2017,10,9,6,0.019685
2017,10,9,8,0.019685
2017,10,9,10,0.019685
2017,10,20,2,0.000000
2017,10,20,3,0.000000
2017,10,20,5,0.000000
2017,10,20,7,0.059055
2017,10,20,8,0.019685
2017,10,20,11,0.078740
2017,11,1,22,0.000000
2017,11,1,23,0.000000
2017,11,3,12,0.031496
2017,11,3,13,0.011811
2017,11,3,14,0.039370
2017,11,3,17,0.039370
2017,11,3,23,0.000000
2017,11,4,0,0.000000
2017,11,4,2,0.000000
2017,11,4,5,0.000000
2017,11,4,11,0.000000
2017,11,4,12,0.059055
2017,11,4,13,0.110236
2017,11,4,14,0.000000
2017,11,4,15,0.011811
2017,11,4,16,0.000000
2017,11,4,17,0.181102
2017,11,5,11,0.181102
2017,11,9,1,0.000000
2017,11,9,2,0.000000
2017,11,9,4,0.011811
2017,11,9,5,0.000000
2017,11,9,6,0.019685
2017,11,9,7,0.019685
2017,11,9,8,0.011811
2017,11,9,11,0.000000
2017,11,10,11,0.000000
2017,11,10,16,0.000000
2017,11,10,17,0.000000
2017,11,10,18,0.000000
2017,11,10,19,0.051181
2017,11,10,20,0.000000
2017,11,10,23,0.051181
2017,11,11,11,0.051181
2017,11,13,22,0.000000
2017,11,13,23,0.000000
2017,11,14,0,0.000000
2017,11,14,1,0.000000
2017,11,14,2,0.000000
2017,11,14,5,0.000000
2017,11,15,10,0.000000
2017,11,15,11,0.000000
2017,11,15,12,0.000000
2017,11,15,13,0.011811
2017,11,15,14,0.039370
2017,11,15,15,0.039370
2017,11,15,16,0.011811
2017,11,15,17,0.000000
2017,11,16,2,0.011811
2017,11,16,3,0.110236
2017,11,16,4,0.141732
2017,11,16,5,0.051181
2017,11,16,6,0.031496
2017,11,16,7,0.090551
2017,11,16,8,0.129921
2017,11,16,9,0.031496
2017,11,16,10,0.070866
2017,11,16,11,0.039370
2017,11,16,12,0.019685
2017,11,16,13,0.051181
2017,11,16,14,0.110236
2017,11,16,15,0.011811
2017,11,16,16,0.031496
2017,11,16,17,0.051181
2017,11,16,18,0.011811
2017,11,16,19,0.011811
2017,11,16,20,0.011811
2017,11,16,21,0.000000
2017,11,16,22,0.000000
2017,11,16,23,0.011811
2017,11,17,0,0.000000
2017,11,17,2,0.000000
2017,11,17,5,0.000000
2017,11,17,6,0.011811
2017,11,17,7,0.000000
2017,11,17,8,0.000000
2017,11,17,11,0.011811
2017,11,20,20,0.000000
2017,11,20,21,0.000000
2017,11,20,23,0.000000
2017,11,26,19,0.031496
2017,11,26,20,0.019685
2017,11,26,22,0.141732
2017,11,26,23,0.000000
2017,11,27,0,0.000000
2017,11,27,2,0.000000
2017,11,27,5,0.000000
2017,11,27,8,0.011811
2017,11,27,9,0.000000
2017,11,27,10,0.011811
2017,11,27,11,0.031496
2017,11,27,12,0.000000
2017,11,27,14,0.000000
2017,11,27,17,0.000000
2017,12,3,8,0.011811
2017,12,3,11,0.011811
2017,12,14,11,0.000000
2017,12,20,9,0.019685
2017,12,20,10,0.011811
2017,12,20,11,0.031496
2017,12,21,18,0.019685
2017,12,30,23,0.000000
